epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28251,0.72092,1.137,1.12409,0.85111,0.75491,0.84514,0.71708,0.65502,0.69335,1.04927,0.000312497,0.000312497,0.000312497
43,28837.9,0.70428,1.09366,1.11001,0.85866,0.74819,0.83839,0.72172,0.65392,0.69545,1.03566,0.000307289,0.000307289,0.000307289
44,29423,0.70375,1.09179,1.11334,0.84822,0.75943,0.8389,0.71548,0.64656,0.69284,1.03082,0.000302082,0.000302082,0.000302082
45,30014.4,0.70043,1.07593,1.10642,0.88233,0.74477,0.84873,0.72668,0.64147,0.67741,1.03554,0.000296874,0.000296874,0.000296874
46,30607,0.6983,1.06175,1.10982,0.91165,0.76883,0.86727,0.74356,0.64591,0.64139,1.03045,0.000291667,0.000291667,0.000291667
47,31205.9,0.70913,1.04455,1.10992,0.89825,0.77464,0.86484,0.74275,0.63449,0.63043,1.02557,0.00028646,0.00028646,0.00028646
48,31807.4,0.69359,1.0464,1.10386,0.89166,0.77466,0.86666,0.73869,0.64493,0.63804,1.03365,0.000281252,0.000281252,0.000281252
49,32402.5,0.69507,1.06679,1.10935,0.90045,0.76147,0.86366,0.74145,0.63585,0.63825,1.02548,0.000276045,0.000276045,0.000276045
50,33002.2,0.69005,1.01168,1.09711,0.91558,0.75958,0.86629,0.73968,0.64356,0.62255,1.03405,0.000270837,0.000270837,0.000270837
51,33587.7,0.69169,1.02399,1.09859,0.91648,0.74661,0.86843,0.74476,0.63484,0.63652,1.01903,0.00026563,0.00026563,0.00026563
52,34171.5,0.68641,1.0159,1.09972,0.85405,0.78516,0.87059,0.74475,0.63314,0.60152,1.02509,0.000260423,0.000260423,0.000260423
53,34785.4,0.68652,1.00634,1.10003,0.93177,0.76959,0.87929,0.75878,0.62585,0.58803,1.01907,0.000255215,0.000255215,0.000255215
54,35392.4,0.68286,1.01765,1.09846,0.91183,0.77857,0.87733,0.75652,0.62295,0.60074,1.01367,0.000250008,0.000250008,0.000250008
55,35984.6,0.6727,0.98125,1.0872,0.93225,0.7566,0.87639,0.75446,0.62148,0.59199,1.01603,0.0002448,0.0002448,0.0002448
56,36569.5,0.68821,0.9822,1.107,0.92927,0.77308,0.87844,0.75528,0.62326,0.58905,1.01792,0.000239593,0.000239593,0.000239593
57,37158.4,0.6636,0.952,1.08117,0.91319,0.79177,0.89143,0.76167,0.63047,0.57407,1.01428,0.000234386,0.000234386,0.000234386
58,37747.4,0.67132,0.96403,1.08858,0.93511,0.77005,0.88267,0.7617,0.62428,0.58506,1.01036,0.000229178,0.000229178,0.000229178
59,38343.8,0.66109,0.94165,1.08205,0.92758,0.77959,0.88889,0.76489,0.6255,0.56418,1.01386,0.000223971,0.000223971,0.000223971
60,38952.4,0.65892,0.93524,1.08182,0.9208,0.79441,0.88916,0.7603,0.62541,0.56475,1.01082,0.000218763,0.000218763,0.000218763
61,39562.7,0.66469,0.93822,1.08122,0.93303,0.78351,0.8857,0.76072,0.62457,0.55465,1.01028,0.000213556,0.000213556,0.000213556
62,40175.1,0.66275,0.93615,1.07898,0.92508,0.79186,0.89105,0.76367,0.61725,0.55099,1.00726,0.000208349,0.000208349,0.000208349
63,40779.5,0.65713,0.91841,1.07978,0.90773,0.81001,0.8942,0.76897,0.61283,0.55543,1.00285,0.000203141,0.000203141,0.000203141
64,41361.5,0.66273,0.91895,1.08193,0.9322,0.79735,0.89319,0.77229,0.6093,0.53839,0.9989,0.000197934,0.000197934,0.000197934
65,41954.8,0.65905,0.92664,1.07737,0.92333,0.80908,0.89744,0.77351,0.60631,0.53119,0.99889,0.000192726,0.000192726,0.000192726
66,42545.2,0.6548,0.90458,1.07186,0.94558,0.79419,0.89795,0.77001,0.61201,0.52848,1.00554,0.000187519,0.000187519,0.000187519
67,43162.9,0.65137,0.92196,1.07199,0.91659,0.81049,0.89931,0.77203,0.60643,0.52893,1.00305,0.000182312,0.000182312,0.000182312
68,43777.7,0.64837,0.89965,1.06763,0.92298,0.79943,0.89863,0.77437,0.60691,0.53032,1.00012,0.000177104,0.000177104,0.000177104
69,44390.7,0.64125,0.89162,1.07205,0.91052,0.82583,0.90429,0.77719,0.60885,0.50957,1.00029,0.000171897,0.000171897,0.000171897
