epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.498,4.17563,51.6206,4.23402,0,0,0,0,4.32544,48.8051,4.16217,0.000170324,0.000170324,0.000170324
2,355.733,4.09186,40.7317,4.0085,0,0,0,0,4.2946,48.0176,4.17933,0.000342235,0.000342235,0.000342235
3,434.284,4.6183,25.22,4.06904,0,0,0,0,4.19537,46.7071,4.20899,0.000510675,0.000510675,0.000510675
4,512.605,4.31526,23.9074,3.43792,0,0,0,0,4.17162,47.1562,4.30567,0.000510378,0.000510378,0.000510378
5,598.54,3.82188,14.3533,2.75982,0.42918,0.03571,0.00045,4e-05,3.12822,15.0206,3.82333,0.00050517,0.00050517,0.00050517
6,693.496,3.32041,11.168,2.34884,0.01129,0.17498,0.01044,0.00337,3.2509,157.09,10.3898,0.000499963,0.000499963,0.000499963
7,789.76,3.08759,8.56238,2.02742,0.16071,0.30405,0.04127,0.01428,2.63369,9.23508,2.8955,0.000494756,0.000494756,0.000494756
8,883.571,2.82591,7.40971,1.96118,0.41426,0.088,0.09949,0.04171,2.5451,8.31652,2.19301,0.000489548,0.000489548,0.000489548
9,980.244,2.65056,6.82926,1.75044,0.3286,0.26807,0.08617,0.0442,2.82365,7.34713,2.30219,0.000484341,0.000484341,0.000484341
10,1074.53,2.51831,6.1222,1.7306,0.25204,0.16738,0.05294,0.03008,2.8638,10.1551,2.65669,0.000479133,0.000479133,0.000479133
11,1169.32,2.42789,5.60408,1.60384,0.34519,0.18437,0.10716,0.05951,2.31399,6.60171,2.26319,0.000473926,0.000473926,0.000473926
12,1264.29,2.33945,5.55018,1.61243,0.29899,0.14577,0.10388,0.06101,2.22633,6.18122,2.25487,0.000468719,0.000468719,0.000468719
13,1357.18,2.27367,5.33409,1.4359,0.37424,0.30174,0.13023,0.07926,2.24339,5.88606,2.19736,0.000463511,0.000463511,0.000463511
14,1447.41,2.21079,5.01032,1.43036,0.27135,0.443,0.13736,0.07772,2.3558,5.93558,2.27983,0.000458304,0.000458304,0.000458304
15,1538.72,2.22745,5.1923,1.42659,0.18314,0.26681,0.17503,0.11097,2.26966,5.45282,2.22165,0.000453096,0.000453096,0.000453096
16,1630.4,2.05475,4.66704,1.37245,0.28997,0.32964,0.19168,0.11209,2.05222,5.1595,2.08267,0.000447889,0.000447889,0.000447889
17,1722.55,2.02432,4.42853,1.43265,0.40764,0.31052,0.25437,0.15697,2.1365,5.16869,2.11302,0.000442682,0.000442682,0.000442682
18,1816.47,2.00244,4.32218,1.41091,0.16226,0.33722,0.19318,0.11787,2.10341,4.9315,2.0828,0.000437474,0.000437474,0.000437474
19,1909.88,2.05069,4.36769,1.43939,0.43282,0.20928,0.21363,0.12892,1.90802,5.05322,2.04942,0.000432267,0.000432267,0.000432267
20,2004.29,1.92804,4.2331,1.38701,0.36407,0.30315,0.20961,0.12276,2.10835,5.23849,2.06428,0.000427059,0.000427059,0.000427059
21,2088.64,1.95501,4.0203,1.36367,0.38579,0.14722,0.17356,0.0893,1.88303,5.35232,2.04023,0.000421852,0.000421852,0.000421852
22,2168.24,1.90164,4.33674,1.3282,0.40248,0.37173,0.23205,0.14153,1.93254,4.79303,2.00747,0.000416645,0.000416645,0.000416645
