epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,18596.4,0.87499,1.62472,1.34554,0.35746,0.52714,0.41135,0.33557,0.82759,1.65323,1.31745,0.0003854,0.0003854,0.0003854
29,10636.1,0.8555,1.60505,1.32917,0.52175,0.4093,0.44845,0.36322,0.8579,1.55681,1.34421,0.000380193,0.000380193,0.000380193
29,19066.5,0.8485,1.56405,1.3207,0.48323,0.50837,0.42406,0.34664,0.82193,1.59563,1.32112,0.000380193,0.000380193,0.000380193
30,11031.4,0.86328,1.61267,1.32252,0.58374,0.36826,0.45433,0.36326,0.81093,1.58545,1.30523,0.000374985,0.000374985,0.000374985
30,19464.2,0.8393,1.58798,1.31393,0.30945,0.52456,0.43973,0.35602,0.79745,1.66142,1.29601,0.000374985,0.000374985,0.000374985
31,11435.5,0.83453,1.56027,1.30584,0.53048,0.46242,0.47323,0.38515,0.78566,1.49846,1.27309,0.000369778,0.000369778,0.000369778
31,19869.3,0.85276,1.55206,1.31731,0.48612,0.46519,0.45647,0.37724,0.76704,1.56608,1.26914,0.000369778,0.000369778,0.000369778
32,11812.8,0.84671,1.5545,1.31134,0.49314,0.48649,0.46864,0.37111,0.87021,1.54111,1.34561,0.000364571,0.000364571,0.000364571
32,20242.8,0.8342,1.58775,1.30758,0.64292,0.41307,0.45449,0.35984,0.81129,1.4958,1.31845,0.000364571,0.000364571,0.000364571
33,12135.9,0.83961,1.55124,1.30305,0.34962,0.52329,0.48229,0.38576,0.84018,1.50657,1.33157,0.000359363,0.000359363,0.000359363
33,20566.2,0.82101,1.52504,1.28107,0.35811,0.55132,0.46552,0.38213,0.76715,1.5899,1.26861,0.000359363,0.000359363,0.000359363
34,12459.7,0.85035,1.49511,1.30048,0.60025,0.41964,0.48636,0.39871,0.7824,1.45439,1.27216,0.000354156,0.000354156,0.000354156
34,20890.4,0.833,1.52226,1.2949,0.37253,0.5132,0.47532,0.38595,0.81264,1.5309,1.29886,0.000354156,0.000354156,0.000354156
35,12784.6,0.83027,1.50443,1.29489,0.45554,0.53069,0.52062,0.4293,0.7838,1.41564,1.28512,0.000348948,0.000348948,0.000348948
35,21214.2,0.81388,1.47419,1.27247,0.47679,0.49351,0.49741,0.40409,0.75897,1.5025,1.26087,0.000348948,0.000348948,0.000348948
36,13109.9,0.80565,1.50069,1.27464,0.37696,0.45328,0.49133,0.41203,0.75774,1.47175,1.24364,0.000343741,0.000343741,0.000343741
36,21540.2,0.80733,1.48975,1.28632,0.45948,0.49983,0.48792,0.40635,0.7509,1.46854,1.25917,0.000343741,0.000343741,0.000343741
37,13440.1,0.80197,1.47948,1.27685,0.3847,0.51466,0.52588,0.4157,0.8678,1.41394,1.34105,0.000338534,0.000338534,0.000338534
37,21872.3,0.80673,1.47129,1.28805,0.58472,0.4754,0.48367,0.39738,0.77308,1.43051,1.26677,0.000338534,0.000338534,0.000338534
38,13806,0.81118,1.47231,1.27725,0.3843,0.59172,0.55129,0.46067,0.75641,1.40629,1.23911,0.000333326,0.000333326,0.000333326
38,22238.2,0.7936,1.4469,1.26184,0.4704,0.47877,0.49385,0.40889,0.74074,1.47055,1.22792,0.000333326,0.000333326,0.000333326
39,14329.5,0.80739,1.45438,1.27475,0.55441,0.50377,0.52634,0.43839,0.76382,1.35953,1.24341,0.000328119,0.000328119,0.000328119
39,22775.4,0.7989,1.43578,1.27753,0.40245,0.50818,0.48903,0.40516,0.741,1.39771,1.229,0.000328119,0.000328119,0.000328119
