epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.622,3.16803,5.39492,4.23139,0.00022,0.14915,0.03074,0.01568,2.90771,6.2594,4.05686,0.000173169,0.000173169,0.000173169
2,1003.25,3.11816,5.09144,3.97064,0.69852,0.14917,0.02981,0.01506,2.82032,17.9716,3.69162,0.000345052,0.000345052,0.000345052
3,1622.26,2.96914,4.77384,3.61104,0.3466,0.17577,0.06712,0.02485,2.35586,29.2703,3.33096,0.000513463,0.000513463,0.000513463
4,2154.72,2.73069,4.43694,3.2826,0.21056,0.14891,0.06908,0.02669,2.04936,5.51052,2.91083,0.000510378,0.000510378,0.000510378
5,2691.06,2.32605,4.0758,2.88943,0.317,0.16805,0.05093,0.02891,1.66711,6.74646,2.44874,0.00050517,0.00050517,0.00050517
6,3223.45,1.96299,3.70488,2.49249,0.30091,0.20978,0.0993,0.0738,1.37068,3.99478,1.97288,0.000499963,0.000499963,0.000499963
7,3743.08,1.70651,3.34048,2.22203,0.2694,0.38497,0.14247,0.10424,1.28979,3.28779,1.81441,0.000494756,0.000494756,0.000494756
8,4258.97,1.55941,3.14136,2.05177,0.33706,0.23279,0.14247,0.10943,1.11814,3.17931,1.70547,0.000489548,0.000489548,0.000489548
9,4787.63,1.43972,2.98251,1.91847,0.23934,0.46983,0.15365,0.11012,1.06846,3.00391,1.63891,0.000484341,0.000484341,0.000484341
10,5317.79,1.36321,2.82616,1.79334,0.25484,0.40079,0.18063,0.13853,0.93692,2.85526,1.42066,0.000479133,0.000479133,0.000479133
11,5829.82,1.26869,2.67274,1.71095,0.20862,0.38823,0.18334,0.14332,0.89866,2.59469,1.40372,0.000473926,0.000473926,0.000473926
12,8615.71,1.22201,2.61775,1.66606,0.24957,0.52004,0.14518,0.1112,0.93103,2.63637,1.40109,0.000468719,0.000468719,0.000468719
13,9281.6,1.17043,2.52956,1.61305,0.30944,0.33974,0.18603,0.14568,0.81322,2.49173,1.28977,0.000463511,0.000463511,0.000463511
14,9964.37,1.14869,2.46459,1.5772,0.43427,0.37401,0.2386,0.18513,0.87358,2.35504,1.28655,0.000458304,0.000458304,0.000458304
15,10688,1.1001,2.39721,1.54362,0.30914,0.42703,0.20064,0.1515,0.84057,2.35569,1.26533,0.000453096,0.000453096,0.000453096
16,11426.6,1.06612,2.30653,1.49054,0.34016,0.51785,0.24529,0.19058,0.75851,2.21313,1.22956,0.000447889,0.000447889,0.000447889
17,12157.7,1.05478,2.25918,1.4767,0.34824,0.55861,0.24712,0.18915,0.7884,2.1366,1.21922,0.000442682,0.000442682,0.000442682
18,12822.1,1.01686,2.18701,1.43566,0.30936,0.43831,0.29576,0.2241,0.76316,2.04944,1.21507,0.000437474,0.000437474,0.000437474
19,13477.2,1.02428,2.18321,1.44321,0.48343,0.3679,0.30795,0.24003,0.73734,2.0358,1.17504,0.000432267,0.000432267,0.000432267
20,14146.6,0.97611,2.12769,1.39657,0.36301,0.49772,0.32537,0.23405,0.75436,1.89887,1.18423,0.000427059,0.000427059,0.000427059
21,26474.4,0.9931,2.08196,1.3954,0.29853,0.45905,0.31073,0.23155,0.77637,1.89283,1.22113,0.000421852,0.000421852,0.000421852
22,26999.5,0.96987,2.07963,1.39115,0.31598,0.53083,0.36395,0.27557,0.69637,1.78729,1.14978,0.000416645,0.000416645,0.000416645
23,27532.8,0.96407,2.06244,1.38048,0.32697,0.56603,0.34339,0.25872,0.73365,1.8228,1.17831,0.000411437,0.000411437,0.000411437
24,28073.5,0.97246,2.00925,1.36129,0.40561,0.49535,0.36405,0.26906,0.71566,1.71065,1.1423,0.00040623,0.00040623,0.00040623
25,28970,0.92499,1.98268,1.34614,0.47826,0.49578,0.34865,0.25737,0.71142,1.72278,1.15996,0.000401022,0.000401022,0.000401022
26,30107.9,0.93518,1.97849,1.34654,0.35437,0.48077,0.37192,0.27809,0.68285,1.71369,1.1092,0.000395815,0.000395815,0.000395815
27,30613.1,0.91079,1.96177,1.33036,0.41573,0.4987,0.36274,0.27792,0.68124,1.66639,1.11664,0.000390608,0.000390608,0.000390608
28,31123.6,0.88893,1.91402,1.29658,0.45716,0.54026,0.39156,0.29217,0.72238,1.63022,1.14191,0.0003854,0.0003854,0.0003854
29,31571.4,0.8978,1.91968,1.31755,0.36704,0.58067,0.40128,0.31257,0.70913,1.62515,1.13317,0.000380193,0.000380193,0.000380193
30,80035.9,0.88336,1.90039,1.30117,0.31875,0.50091,0.39171,0.29492,0.67608,1.63415,1.10937,0.000374985,0.000374985,0.000374985
31,80531.6,0.87229,1.87224,1.29271,0.5402,0.42332,0.41044,0.30922,0.70934,1.57113,1.13373,0.000369778,0.000369778,0.000369778
32,81150.5,0.87879,1.88796,1.29217,0.4379,0.51347,0.38755,0.30484,0.67189,1.5846,1.10005,0.000364571,0.000364571,0.000364571
33,81839,0.85886,1.82971,1.26938,0.30936,0.53494,0.43207,0.3325,0.67482,1.53546,1.10221,0.000359363,0.000359363,0.000359363
34,82087.5,0.86841,1.81982,1.28012,0.54068,0.44849,0.4421,0.34144,0.73417,1.52118,1.13566,0.000354156,0.000354156,0.000354156
35,82297.6,0.86303,1.79267,1.27589,0.5472,0.43083,0.43841,0.33909,0.64509,1.55085,1.06711,0.000348948,0.000348948,0.000348948
36,82523.4,0.84059,1.79333,1.25956,0.60992,0.49017,0.50289,0.38611,0.63695,1.45031,1.08015,0.000343741,0.000343741,0.000343741
37,82751.1,0.84497,1.77048,1.25621,0.5398,0.43351,0.49212,0.38585,0.67691,1.46009,1.08875,0.000338534,0.000338534,0.000338534
38,82978.1,0.82725,1.75237,1.23855,0.54578,0.47068,0.495,0.38697,0.65241,1.45393,1.08026,0.000333326,0.000333326,0.000333326
39,83204.7,0.83892,1.75636,1.24727,0.53661,0.54438,0.50647,0.39017,0.67495,1.48752,1.08398,0.000328119,0.000328119,0.000328119
40,83430.8,0.8426,1.76741,1.26252,0.62228,0.51768,0.55321,0.43724,0.65462,1.39496,1.07992,0.000322911,0.000322911,0.000322911
41,83628,0.8276,1.72627,1.24427,0.52682,0.47638,0.50153,0.40363,0.65456,1.43155,1.07085,0.000317704,0.000317704,0.000317704
42,83844.6,0.82664,1.69128,1.23314,0.75234,0.422,0.51953,0.41388,0.63208,1.39027,1.05136,0.000312497,0.000312497,0.000312497
43,84078,0.80162,1.68799,1.22122,0.45873,0.5396,0.54426,0.43741,0.63505,1.32948,1.0499,0.000307289,0.000307289,0.000307289
44,84310.8,0.81656,1.64531,1.2243,0.67633,0.47528,0.60622,0.49206,0.6393,1.28453,1.05128,0.000302082,0.000302082,0.000302082
45,84539.9,0.79192,1.62869,1.21226,0.62235,0.52519,0.58409,0.47233,0.64828,1.28271,1.07179,0.000296874,0.000296874,0.000296874
46,84766.9,0.8321,1.62826,1.22737,0.64569,0.5338,0.59372,0.47891,0.652,1.31353,1.05362,0.000291667,0.000291667,0.000291667
47,84996.1,0.79493,1.61936,1.2153,0.79113,0.4623,0.63523,0.51793,0.63714,1.27854,1.0436,0.00028646,0.00028646,0.00028646
48,85225.6,0.80827,1.58752,1.22499,0.76213,0.45787,0.58348,0.47717,0.61475,1.29229,1.04485,0.000281252,0.000281252,0.000281252
49,85457.1,0.78729,1.58321,1.21169,0.78128,0.45754,0.60678,0.50622,0.61684,1.29062,1.033,0.000276045,0.000276045,0.000276045
50,85686.2,0.7876,1.58822,1.21081,0.68515,0.56368,0.63824,0.51955,0.61884,1.21211,1.04088,0.000270837,0.000270837,0.000270837
51,85918.7,0.78711,1.55803,1.21268,0.74769,0.50662,0.62974,0.52331,0.61586,1.17113,1.04472,0.00026563,0.00026563,0.00026563
52,86149.4,0.77175,1.51777,1.19399,0.64672,0.56699,0.62956,0.51887,0.60291,1.17763,1.03301,0.000260423,0.000260423,0.000260423
53,86380.3,0.8018,1.527,1.21481,0.78463,0.48693,0.6602,0.53888,0.63509,1.15928,1.05183,0.000255215,0.000255215,0.000255215
54,86610.1,0.78314,1.54409,1.19929,0.69494,0.57271,0.67673,0.54761,0.62253,1.14948,1.0403,0.000250008,0.000250008,0.000250008
55,86837.2,0.77188,1.52025,1.19804,0.67259,0.59262,0.66929,0.54398,0.62934,1.14822,1.0595,0.0002448,0.0002448,0.0002448
56,87068.8,0.78531,1.50262,1.1906,0.79791,0.48883,0.68596,0.56496,0.63393,1.16813,1.05282,0.000239593,0.000239593,0.000239593
57,87296.3,0.76563,1.49033,1.19016,0.77634,0.51477,0.69646,0.58572,0.61209,1.08312,1.02824,0.000234386,0.000234386,0.000234386
58,87522.8,0.78907,1.47047,1.20639,0.71682,0.54529,0.71158,0.58495,0.60008,1.0972,1.02805,0.000229178,0.000229178,0.000229178
59,87750,0.75178,1.44131,1.17455,0.76246,0.52051,0.67811,0.55673,0.63216,1.10657,1.039,0.000223971,0.000223971,0.000223971
60,87977.5,0.75106,1.43205,1.17396,0.79867,0.51813,0.64806,0.52625,0.63398,1.12432,1.0432,0.000218763,0.000218763,0.000218763
61,88204.6,0.76265,1.39235,1.18012,0.79642,0.58191,0.72616,0.6008,0.63623,1.04095,1.03866,0.000213556,0.000213556,0.000213556
62,88430.7,0.75674,1.4001,1.17372,0.59105,0.6724,0.72724,0.60367,0.62257,1.05857,1.03032,0.000208349,0.000208349,0.000208349
